code,exchange,name,spell,long_margin_ratio,short_margin_ratio,price_tick,volume_multiple
AA,SHFE,AA,AA,1.0,1.0,0.0,1
CC,SHFE,CC,CC,1.0,1.0,0.0,1
002776,SZ,002776,bbl,1,1,0,1
002765,SZ,002765,ldcd,1,1,0,1
002772,SZ,002772,zxjy,1,1,0,1
002763,SZ,002763,hjgf,1,1,0,1
002766,SZ,002766,slgf,1,1,0,1
002767,SZ,002767,xfdz,1,1,0,1
002719,SZ,麦趣尔,mqe,1,1,0,1
000972,SZ,新中基,xzj,1,1,0,1
002780,SZ,002780,002780,1,1,0,1
PM611,SHFE,PM611,PM611,0.05,0.05,1,50
PM1611,SHFE,PM1611,PM1611,0.05,0.05,1,50
PM,SHFE,PM,PM,0.05,0.05,1,50
FG611,SHFE,FG611,FG611,0.05,0.05,1,20
FG1611,SHFE,FG1611,FG1611,0.05,0.05,1,20
FG,SHFE,FG,FG,0.05,0.05,1,20
PB1611,SHFE,PB1611,PB1611,0.05,0.05,5,5
PB,SHFE,PB,PB,0.05,0.05,5,5
WR1611,SHFE,WR1611,WR1611,0.2,0.2,1,10
WR,SHFE,WR,WR,0.2,0.2,1,10
NI1611,SHFE,NI1611,NI1611,0.07,0.07,10,1
NI,SHFE,NI,NI,0.07,0.07,10,1
AL1611,SHFE,AL1611,AL1611,0.05,0.05,5,5
AL,SHFE,AL,AL,0.05,0.05,5,5
IC1601,SHFE,IC1601,IC1601,0.4,0.4,0.2,200
IC,SHFE,IC,IC,0.4,0.4,0.2,200
IF1601,SHFE,IF1601,IF1601,0.4,0.4,0.2,300
IF,SHFE,IF,IF,0.4,0.4,0.2,300
IH1601,SHFE,IH1601,IH1601,0.4,0.4,0.2,300
IH,SHFE,IH,IH,0.4,0.4,0.2,300
FU1612,SHFE,FU1612,FU1612,0.2,0.2,1,50
FU,SHFE,FU,FU,0.2,0.2,1,50
300329,SZ,300329,hlgq,1,1,0,1
V1610,SHFE,V1610,V1610,0.05,0.05,5,5
V,SHFE,V,V,0.05,0.05,5,5
P1610,SHFE,P1610,P1610,0.05,0.05,2,10
P,SHFE,P,P,0.05,0.05,2,10
WR1610,SHFE,WR1610,WR1610,0.2,0.2,1,10
RB1610,SHFE,RB1610,RB1610,0.06,0.06,1,10
RB,SHFE,RB,RB,0.06,0.06,1,10
ZN1610,SHFE,ZN1610,ZN1610,0.06,0.06,5,5
ZN,SHFE,ZN,ZN,0.06,0.06,5,5
L1610,SHFE,L1610,L1610,0.05,0.05,5,5
L,SHFE,L,L,0.05,0.05,5,5
PP1610,SHFE,PP1610,PP1610,0.05,0.05,1,5
PP,SHFE,PP,PP,0.05,0.05,1,5
SN1610,SHFE,SN1610,SN1610,0.05,0.05,10,1
SN,SHFE,SN,SN,0.05,0.05,10,1
J1610,SHFE,J1610,J1610,0.05,0.05,0.5,100
J,SHFE,J,J,0.05,0.05,0.5,100
JM1610,SHFE,JM1610,JM1610,0.05,0.05,0.5,60
