isStock,name,code,exchangeId,industry,concept,area,pinyin,long_margin_ratio,short_margin_ratio,price_tick,volume_multiple
true,002776,002776,SZSE,null,null,null,bbl,undefined,undefined,undefined,undefined
true,002765,002765,SZSE,null,null,null,ldcd,undefined,undefined,undefined,undefined
true,002772,002772,SZSE,null,null,null,zxjy,undefined,undefined,undefined,undefined
true,002763,002763,SZSE,null,null,null,hjgf,undefined,undefined,undefined,undefined
true,002766,002766,SZSE,null,null,null,slgf,undefined,undefined,undefined,undefined
true,002767,002767,SZSE,null,null,null,xfdz,undefined,undefined,undefined,undefined
true,麦趣尔,002719,SZSE,食品行业,null,null,mqe,undefined,undefined,undefined,undefined
true,新中基,000972,SZSE,食品行业,null,null,xzj,undefined,undefined,undefined,undefined
true,002780,002780,SZSE,null,null,null,002780,undefined,undefined,undefined,undefined
false,PM611,PM611,SHFE,undefined,undefined,undefined,undefined,0.05,0.05,1,50
false,FG611,FG611,SHFE,undefined,undefined,undefined,undefined,0.05,0.05,1,20
false,PB1611,PB1611,SHFE,undefined,undefined,undefined,undefined,0.05,0.05,5,5
false,WR1611,WR1611,SHFE,undefined,undefined,undefined,undefined,0.2,0.2,1,10
false,NI1611,NI1611,SHFE,undefined,undefined,undefined,undefined,0.07,0.07,10,1
false,AL1611,AL1611,SHFE,undefined,undefined,undefined,undefined,0.05,0.05,5,5
false,IC1601,IC1601,SHFE,undefined,undefined,undefined,undefined,0.4,0.4,0.2,200
false,IF1601,IF1601,SHFE,undefined,undefined,undefined,undefined,0.4,0.4,0.2,300
false,IH1601,IH1601,SHFE,undefined,undefined,undefined,undefined,0.4,0.4,0.2,300
false,FU1612,FU1612,SHFE,undefined,undefined,undefined,undefined,0.2,0.2,1,50
true,300329,300329,SZSE,null,null,null,hlgq,undefined,undefined,undefined,undefined
false,V1610,V1610,SHFE,undefined,undefined,undefined,undefined,0.05,0.05,5,5
false,P1610,P1610,SHFE,undefined,undefined,undefined,undefined,0.05,0.05,2,10
false,WR1610,WR1610,SHFE,undefined,undefined,undefined,undefined,0.2,0.2,1,10
