utime,open,close,high,low,volume
1385341260000,125.0,125.0,125.0,125.0,0
1385341320000,125.0,125.0,125.0,125.0,0
1385341380000,125.0,125.0,125.0,125.0,0
1385341440000,125.0,125.0,125.0,125.0,0
1385341500000,125.0,125.0,125.0,125.0,0
1385341560000,125.0,125.0,125.0,125.0,0
1385341620000,125.0,125.0,125.0,125.0,0
1385341680000,125.0,125.0,125.0,125.0,0
1385341740000,125.0,125.0,125.0,125.0,0
1385341800000,125.0,125.0,125.0,125.0,0
1385341860000,125.0,125.0,125.0,125.0,0
1385341920000,125.0,125.0,125.0,125.0,0
1385341980000,125.0,125.0,125.0,125.0,0
1385342040000,125.0,125.0,125.0,125.0,0
1385342100000,125.0,125.0,125.0,125.0,0
1385342160000,125.0,125.0,125.0,125.0,0
1385342220000,125.0,125.0,125.0,125.0,0
1385342280000,125.0,125.0,125.0,125.0,0
1385342340000,125.0,125.0,125.0,125.0,0
1385342400000,125.0,125.0,125.0,125.0,0
1385342460000,125.0,125.0,125.0,125.0,0
1385342520000,125.0,125.0,125.0,125.0,0
1385342580000,125.0,125.0,125.0,125.0,0
1385342640000,125.0,125.0,125.0,125.0,0
1385342700000,125.0,125.0,125.0,125.0,0
1385342760000,125.0,125.0,125.0,125.0,0
1385342820000,125.0,125.0,125.0,125.0,0
1385342880000,125.0,125.0,125.0,125.0,0
1385342940000,125.0,125.0,125.0,125.0,0
1385343000000,125.0,125.0,125.0,125.0,0
1385343060000,125.0,125.0,125.0,125.0,0
1385343120000,125.0,125.0,125.0,125.0,0
1385343180000,125.0,125.0,125.0,125.0,0
1385343240000,125.0,125.0,125.0,125.0,0
1385343300000,125.0,125.0,125.0,125.0,0
1385343360000,125.0,125.0,125.0,125.0,0
1385343420000,125.0,125.0,125.0,125.0,0
1385343480000,125.0,125.0,125.0,125.0,0
1385343540000,125.0,125.0,125.0,125.0,0
1385343600000,125.0,125.0,125.0,125.0,0
1385343660000,125.0,125.0,125.0,125.0,0
1385343720000,125.0,125.0,125.0,125.0,0
1385343780000,125.0,125.0,125.0,125.0,0
1385343840000,125.0,125.0,125.0,125.0,0
1385343900000,125.0,125.0,125.0,125.0,0
1385343960000,125.0,125.0,125.0,125.0,0
1385344020000,125.0,125.0,125.0,125.0,0
1385344080000,125.0,125.0,125.0,125.0,0
1385344140000,125.0,125.0,125.0,125.0,0
1385344200000,125.0,125.0,125.0,125.0,0
1385344260000,125.0,125.0,125.0,125.0,0
1385344320000,125.0,125.0,125.0,125.0,0
1385344380000,125.0,125.0,125.0,125.0,0
1385344440000,125.0,125.0,125.0,125.0,0
1385344500000,125.0,125.0,125.0,125.0,0
1385344560000,125.0,125.0,125.0,125.0,0
1385344620000,125.0,125.0,125.0,125.0,0
1385344680000,125.0,125.0,125.0,125.0,0
1385344740000,125.0,125.0,125.0,125.0,0
1385344800000,125.0,125.0,125.0,125.0,0
1385344860000,125.0,125.0,125.0,125.0,0
1385344920000,125.0,125.0,125.0,125.0,0
1385344980000,125.0,125.0,125.0,125.0,0
1385345040000,125.0,125.0,125.0,125.0,0
1385345100000,125.0,125.0,125.0,125.0,0
1385345160000,125.0,125.0,125.0,125.0,0
1385345220000,125.0,125.0,125.0,125.0,0
1385345280000,125.0,125.0,125.0,125.0,0
1385345340000,125.0,125.0,125.0,125.0,0
1385345400000,125.0,125.0,125.0,125.0,0
1385345460000,125.0,125.0,125.0,125.0,0
1385345520000,125.0,125.0,125.0,125.0,0
1385345580000,125.0,125.0,125.0,125.0,0
1385345640000,125.0,125.0,125.0,125.0,0
1385345700000,125.0,125.0,125.0,125.0,0
1385345760000,125.0,125.0,125.0,125.0,0
1385345820000,125.0,125.0,125.0,125.0,0
1385345880000,125.0,125.0,125.0,125.0,0
1385345940000,125.0,125.0,125.0,125.0,0
1385346000000,125.0,125.0,125.0,125.0,0
1385346060000,125.0,125.0,125.0,125.0,0
1385346120000,125.0,125.0,125.0,125.0,0
1385346180000,125.0,125.0,125.0,125.0,0
1385346240000,125.0,125.0,125.0,125.0,0
1385346300000,125.0,125.0,125.0,125.0,0
1385346360000,125.0,125.0,125.0,125.0,0
1385346420000,125.0,125.0,125.0,125.0,0
1385346480000,125.0,125.0,125.0,125.0,0
1385346540000,125.0,125.0,125.0,125.0,0
1385346600000,125.0,125.0,125.0,125.0,0
1385346660000,125.0,125.0,125.0,125.0,0
1385346720000,125.0,125.0,125.0,125.0,0
1385346780000,125.0,125.0,125.0,125.0,0
1385346840000,125.0,125.0,125.0,125.0,0
1385346900000,125.0,125.0,125.0,125.0,0
1385346960000,125.0,125.0,125.0,125.0,0
1385347020000,125.0,125.0,125.0,125.0,0
1385347080000,125.0,125.0,125.0,125.0,0
1385347140000,125.0,125.0,125.0,125.0,0
1385347200000,125.0,125.0,125.0,125.0,0
1385347260000,125.0,125.0,125.0,125.0,0
1385347320000,125.0,125.0,125.0,125.0,0
1385347380000,125.0,125.0,125.0,125.0,0
1385347440000,125.0,125.0,125.0,125.0,0
1385347500000,125.0,125.0,125.0,125.0,0
1385347560000,125.0,125.0,125.0,125.0,0
1385347620000,125.0,125.0,125.0,125.0,0
1385347680000,125.0,125.0,125.0,125.0,0
1385347740000,125.0,125.0,125.0,125.0,0
1385347800000,125.0,125.0,125.0,125.0,0
1385347860000,125.0,125.0,125.0,125.0,0
1385347920000,125.0,125.0,125.0,125.0,0
1385347980000,125.0,125.0,125.0,125.0,0
1385348040000,125.0,125.0,125.0,125.0,0
1385348100000,125.0,125.0,125.0,125.0,0
1385348160000,125.0,125.0,125.0,125.0,0
1385348220000,125.0,125.0,125.0,125.0,0
1385348280000,125.0,125.0,125.0,125.0,0
1385348340000,125.0,125.0,125.0,125.0,0
1385348400000,125.0,125.0,125.0,125.0,0
1385348460000,125.0,125.0,125.0,125.0,0
1385348520000,125.0,125.0,125.0,125.0,0
1385348580000,125.0,125.0,125.0,125.0,0
1385348640000,125.0,125.0,125.0,125.0,0
1385348700000,125.0,125.0,125.0,125.0,0
1385348760000,125.0,125.0,125.0,125.0,0
1385348820000,125.0,125.0,125.0,125.0,0
1385348880000,125.0,125.0,125.0,125.0,0
1385348940000,125.0,125.0,125.0,125.0,0
1385349000000,125.0,125.0,125.0,125.0,0
1385349060000,125.0,125.0,125.0,125.0,0
1385349120000,125.0,125.0,125.0,125.0,0
1385349180000,125.0,125.0,125.0,125.0,0
1385349240000,125.0,125.0,125.0,125.0,0
1385349300000,125.0,125.0,125.0,125.0,0
1385349360000,125.0,125.0,125.0,125.0,0
1385349420000,125.0,125.0,125.0,125.0,0
1385349480000,135.0,135.0,135.0,135.0,0
1385946060000,125.0,125.0,125.0,125.0,0
1385946120000,125.0,125.0,125.0,125.0,0
1385946180000,125.0,125.0,125.0,125.0,0
1385946240000,125.0,125.0,125.0,125.0,0
1385946300000,125.0,125.0,125.0,125.0,0
1385946360000,125.0,125.0,125.0,125.0,0
1385946420000,125.0,125.0,125.0,125.0,0
1385946480000,125.0,125.0,125.0,125.0,0
1385946540000,125.0,125.0,125.0,125.0,0
1385946600000,125.0,125.0,125.0,125.0,0
1385946660000,125.0,125.0,125.0,125.0,0
1385946720000,125.0,125.0,125.0,125.0,0
1385946780000,125.0,125.0,125.0,125.0,0
1385946840000,125.0,125.0,125.0,125.0,0
1385946900000,125.0,125.0,125.0,125.0,0
1385946960000,125.0,125.0,125.0,125.0,0
1385947020000,125.0,125.0,125.0,125.0,0
1385947080000,125.0,125.0,125.0,125.0,0
1385947140000,125.0,125.0,125.0,125.0,0
1385947200000,125.0,125.0,125.0,125.0,0
1385947260000,125.0,125.0,125.0,125.0,0
1385947320000,125.0,125.0,125.0,125.0,0
1385947380000,125.0,125.0,125.0,125.0,0
1385947440000,125.0,125.0,125.0,125.0,0
1385947500000,125.0,125.0,125.0,125.0,0
1385947560000,125.0,125.0,125.0,125.0,0
1385947620000,125.0,125.0,125.0,125.0,0
1385947680000,125.0,125.0,125.0,125.0,0
1385947740000,125.0,125.0,125.0,125.0,0
1385947800000,125.0,125.0,125.0,125.0,0
1385947860000,125.0,125.0,125.0,125.0,0
1385947920000,125.0,125.0,125.0,125.0,0
1385947980000,125.0,125.0,125.0,125.0,0
1385948040000,125.0,125.0,125.0,125.0,0
1385948100000,125.0,125.0,125.0,125.0,0
1385948160000,125.0,125.0,125.0,125.0,0
1385948220000,125.0,125.0,125.0,125.0,0
1385948280000,125.0,125.0,125.0,125.0,0
1385948340000,125.0,125.0,125.0,125.0,0
1385948400000,125.0,125.0,125.0,125.0,0
1385948460000,125.0,125.0,125.0,125.0,0
1385948520000,125.0,125.0,125.0,125.0,0
1385948580000,125.0,125.0,125.0,125.0,0
1385948640000,125.0,125.0,125.0,125.0,0
1385948700000,125.0,125.0,125.0,125.0,0
1385948760000,125.0,125.0,125.0,125.0,0
1385948820000,125.0,125.0,125.0,125.0,0
1385948880000,125.0,125.0,125.0,125.0,0
1385948940000,125.0,125.0,125.0,125.0,0
1385949000000,125.0,125.0,125.0,125.0,0
1385949060000,125.0,125.0,125.0,125.0,0
1385949120000,125.0,125.0,125.0,125.0,0
1385949180000,125.0,125.0,125.0,125.0,0
1385949240000,125.0,125.0,125.0,125.0,0
1385949300000,125.0,125.0,125.0,125.0,0
1385949360000,125.0,125.0,125.0,125.0,0
1385949420000,125.0,125.0,125.0,125.0,0
1385949480000,125.0,125.0,125.0,125.0,0
1385949540000,125.0,125.0,125.0,125.0,0
1385949600000,125.0,125.0,125.0,125.0,0
1385949660000,125.0,125.0,125.0,125.0,0
1385949720000,125.0,125.0,125.0,125.0,0
1385949780000,125.0,125.0,125.0,125.0,0
1385949840000,125.0,125.0,125.0,125.0,0
1385949900000,125.0,125.0,125.0,125.0,0
1385949960000,125.0,125.0,125.0,125.0,0
1385950020000,125.0,125.0,125.0,125.0,0
1385950080000,125.0,125.0,125.0,125.0,0
1385950140000,125.0,125.0,125.0,125.0,0
1385950200000,125.0,125.0,125.0,125.0,0
1385950260000,125.0,125.0,125.0,125.0,0
1385950320000,125.0,125.0,125.0,125.0,0
1385950380000,125.0,125.0,125.0,125.0,0
1385950440000,125.0,125.0,125.0,125.0,0
1385950500000,125.0,125.0,125.0,125.0,0
1385950560000,125.0,125.0,125.0,125.0,0
1385950620000,125.0,125.0,125.0,125.0,0
1385950680000,125.0,125.0,125.0,125.0,0
1385950740000,125.0,125.0,125.0,125.0,0
1385950800000,125.0,125.0,125.0,125.0,0
1385950860000,125.0,125.0,125.0,125.0,0
1385950920000,125.0,125.0,125.0,125.0,0
1385950980000,125.0,125.0,125.0,125.0,0
1385951040000,125.0,125.0,125.0,125.0,0
1385951100000,125.0,125.0,125.0,125.0,0
1385951160000,125.0,125.0,125.0,125.0,0
1385951220000,125.0,125.0,125.0,125.0,0
1385951280000,125.0,125.0,125.0,125.0,0
1385951340000,125.0,125.0,125.0,125.0,0
1385951400000,125.0,125.0,125.0,125.0,0
1385951460000,125.0,125.0,125.0,125.0,0
1385951520000,125.0,125.0,125.0,125.0,0
1385951580000,125.0,125.0,125.0,125.0,0
1385951640000,125.0,125.0,125.0,125.0,0
1385951700000,125.0,125.0,125.0,125.0,0
1385951760000,125.0,125.0,125.0,125.0,0
1385951820000,125.0,125.0,125.0,125.0,0
1385951880000,125.0,125.0,125.0,125.0,0
1385951940000,125.0,125.0,125.0,125.0,0
1385952000000,125.0,125.0,125.0,125.0,0
1385952060000,125.0,125.0,125.0,125.0,0
1385952120000,125.0,125.0,125.0,125.0,0
1385952180000,125.0,125.0,125.0,125.0,0
1385952240000,125.0,125.0,125.0,125.0,0
1385952300000,125.0,125.0,125.0,125.0,0
1385952360000,125.0,125.0,125.0,125.0,0
1385952420000,125.0,125.0,125.0,125.0,0
1385952480000,125.0,125.0,125.0,125.0,0
1385952540000,125.0,125.0,125.0,125.0,0
1385952600000,125.0,125.0,125.0,125.0,0
1385952660000,125.0,125.0,125.0,125.0,0
1385952720000,125.0,125.0,125.0,125.0,0
1385952780000,125.0,125.0,125.0,125.0,0
1385952840000,125.0,125.0,125.0,125.0,0
