entry_datetime,entry_price,exit_datetime,exit_price
2014-01-06 09:45:00,2262,2014-01-08 09:45:00,2262
2014-01-30 15:00:00,2210,2014-02-10 10:15:00,2260
2014-02-21 13:45:00,2264,2014-03-03 11:15:00,2182
2014-03-06 10:45:00,2130,2014-03-07 10:00:00,2174
2014-03-10 09:45:00,2102,2014-03-13 09:30:00,2094
2014-03-21 10:15:00,2054,2014-03-21 13:15:00,2088
2014-04-22 13:00:00,2174,2014-04-23 09:45:00,2186
2014-04-28 10:45:00,2138,2014-04-29 14:15:00,2154
2014-05-19 10:30:00,2094,2014-05-21 10:00:00,2104
2014-06-19 14:15:00,2132,2014-06-30 10:15:00,2164
2014-07-09 15:00:00,2136,2014-07-14 13:15:00,2158
2014-10-27 09:45:00,2380,2014-10-29 09:30:00,2436
