日期,时间,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,isN
20100419,0.1005,7.2,8.6,8,4,5.2,3.4,4.4,11.2,19,20.4,31,37.4,38,38.8,55.6,71.2,69.6,69.6,73.8,80.8,TRUE
20100419,0.1335,-1.4,-3.4,-1.8,-7.2,16.2,27.8,48.4,70.2,64.2,65.6,76.2,84.2,85.2,96.4,95.6,83.2,102,91.4,84.8,70.2,TRUE
20100420,0.1325,-3,-4.8,-3.8,-12.2,-12.6,-9.6,-8.4,-56.6,-49.4,-50,-42.4,-39.4,-36.6,-44,-41.8,-45.4,-48,-43.4,-42.8,-43.4,TRUE
20100420,0.141,-6.6,-14.2,-17.2,-20,-12.6,-14.8,-11.2,-8.6,-13.2,-13.8,-13.2,-15.4,-7,-11.4,-6,-7.8,-5.2,-0.8,-1,-3.4,TRUE
20100421,0.132,-4.8,-3.6,4.2,1.8,6.4,-0.8,-1.2,10.8,10.2,13.2,11,13.6,17.2,19.8,29.8,34.2,30,31.2,26.2,24.8,TRUE
20100421,0.14,3.2,6.2,4,6.6,10.2,12.8,22.8,27.2,23,24.2,19.2,17.8,14.8,17.4,6.2,0.8,-3.8,-8.6,-13,-8.6,TRUE
20100422,0.1005,7.6,5.2,3.8,6.2,3,-0.8,-5.2,-3.6,4.6,-22.2,-26.2,-29,-23,-29.4,-30,-38.6,-29.2,-26,-23.4,-30,TRUE
20100422,0.103,-8.6,-13,-11.4,-3.2,-30,-34,-36.8,-30.8,-37.2,-37.8,-46.4,-37,-33.8,-31.2,-37.8,-42.4,-45.6,-41.6,-52.8,-54.4,TRUE
20100423,0.132,4.8,4.8,2.4,1.6,-2,-9.4,-16.4,-18.2,-16.2,-20.2,-10,-11.4,-4,-4.8,-5,-1.8,3.6,2,1.8,3.6,TRUE
20100426,0.1445,1.6,-0.4,-1.4,-1,-2.6,23.6,24,28.2,27.4,32.8,33,32.6,36.4,34,35.4,36.8,44.2,47.6,52.6,50.4,TRUE
20100427,0.1035,13,8.6,7.2,6.4,9.4,22.6,27,11.4,12,8.8,20.2,19.6,11.8,8.4,9.8,10.4,27.8,34.2,34.4,30.6,TRUE
20100429,0.092,2,2.8,8.6,6,1.8,-3.6,-0.6,0.6,3.2,-0.2,-1,-1.4,-0.2,-4.8,-3.6,-3,-2.4,-4.2,-6.6,-5.4,TRUE
20100429,0.143,5.6,10,15.2,26.6,27,36.4,43,47,25.8,28.8,37,45.8,51,39.8,46.2,48.6,44.6,33.8,30.4,31.2,TRUE
20100430,0.0925,6.8,12,0.8,7.2,9.6,5.6,-5.2,-8.6,-7.8,-11.2,-10,-4.2,-2.6,-2.4,-10.2,-10.2,-7.2,4.2,5.8,13,TRUE
20100430,0.15,-6,-9.4,-32.4,-41.2,-50,-41,-34.8,-40,-40,-39.2,-34.4,-29,-29.4,-30,-27.6,-32.8,-35.4,-26.4,-27,-37.4,TRUE
20100505,0.1045,-3,-6.6,-7.4,-10.8,-10,-10,-10.4,-17.2,-16.8,-15,-19.6,-25,-23.8,-24.2,-23.2,-33.2,-36.8,-36.2,-36,-45,TRUE
20100505,0.1335,7,6.4,6.2,15.2,15.2,15.4,15.2,14,18.4,16.6,14.2,17.2,21,22.2,23.2,24.4,18.4,17.8,15.6,17.8,TRUE
20100505,0.1435,3.8,5,6,7.2,1.2,0.6,-1.6,0.6,-3.2,-3.6,0,-8.6,-6.4,-8,-3.2,-6.4,-11.8,-11.2,-14.6,-12.8,TRUE
20100506,0.132,0.4,-0.6,-6.6,-2.6,24,26.4,25.6,31.2,25.2,22.6,38.8,49.2,53.8,57.4,52.2,54.6,56,71,65.6,64.8,TRUE
20100506,0.1345,28.8,28,33.6,27.6,25,41.2,51.6,56.2,59.8,54.6,57,58.4,73.4,68,67.2,68.4,61.4,119.4,127.8,125.8,TRUE
20100507,0.093,-3,-25.6,-28,-32.6,-27.8,-35.2,-34,-33,-27,-22.6,-30.4,-34.6,-46.6,-57.4,-53,-57,-71.6,-61.8,-53.2,-55,TRUE
20100507,0.1335,11,10.2,-21.8,-40.2,-16,-5.2,-9.6,-13.6,5.8,-2.2,-27.8,-17,-9,-14,-5.4,-9,-8,-10.4,-11.6,-27.2,TRUE
20100511,0.1305,1.4,9.2,9.4,15.2,14.4,10.2,26.4,31.4,30.4,39.6,52.8,55,72.4,79.6,67.4,75.2,81.8,75.6,83.4,85,TRUE
20100512,0.092,8.8,13.8,13.4,6.4,-21.6,-37.6,-46.2,-41.6,-41.4,-39.6,-34.8,-32.6,-29.6,-32,-34.8,-19.8,-4.2,-7.6,-8.8,7.2,TRUE
20100513,0.1335,6,7.4,6,7,0.4,12,26.4,28.8,29.4,32.8,34.2,29.6,21.2,20.2,19.4,20.4,23.8,19.6,19,6.8,TRUE
20100517,0.094,3.2,2,4.6,9.2,13.4,33,31.2,32,38.2,38.8,35.2,34,48,47.8,50,57.2,50.6,50.6,51.2,55,TRUE
20100517,0.1435,6.4,14.8,19.8,15.8,15.6,15,9,7.6,5.2,4.8,7,4.2,-11.2,-6.4,5.4,-1.4,-5.2,-9,-10.4,-9.2,TRUE
20100518,0.0915,-11.6,-12,-9.8,-12.6,-28,-23.2,-11.4,-18.2,-22,-25.8,-27.2,-26,-27,-28.4,-17,-16,-21.2,-10,-11.4,-9.8,TRUE
20100518,0.1335,24,66,53.6,56.2,46.2,48.2,58.8,75.2,66.2,52.2,55.2,56.6,52.8,52,31.4,32,33.4,39,43.2,21.8,TRUE
20100519,0.102,13.4,3.4,8.8,-10.4,-10.4,-20.8,-29.2,-29.6,-5,-19.2,-61.6,-78.8,-72.6,-65.8,-86.6,-86.8,-73,-101,-86.6,-81,TRUE
20100519,0.1305,-2.8,-16.6,11.4,-3,-8.6,-18.2,-11,-11,-12.4,-16.8,-33.8,-26.4,-29.2,-14.8,-31,-26.8,-57.8,-53.2,-55.8,-50.2,TRUE
20100520,0.134,-4.2,-9.2,-11.2,-12.2,-18.6,-9.4,-9,-17,-16.4,-12,-8.4,-9.2,10.6,2.8,0.6,-1,-4,-10.4,59.2,67.8,TRUE
20100521,0.1305,-3.6,11.2,5.8,11.4,10.2,9.6,26.2,22.4,19.8,14.4,4.2,10.4,17.2,25.2,28.8,29.8,24.4,24.2,34.2,29.2,TRUE
20100524,0.092,0.2,11.8,12.4,12.4,18.4,19.2,33.4,39.4,38.8,67,63.4,60.2,58.2,77.6,93.6,85.8,100.8,102.4,101,88.2,TRUE
20100524,0.112,-6.4,-8,-14.2,-3,6,0,-6.4,-14.4,-10.2,-14,-3.6,-12,-14.6,-11.2,-1.6,-1.6,-2.2,-9,-4,-1.8,TRUE
20100525,0.094,0,-1.4,2.2,7,6,2.2,1.6,-2,-8,-8.6,-8.2,2.8,-3.6,-9.4,-8,-17.4,-17.2,-13.6,-14.6,-10.8,TRUE
20100525,0.132,-6,-6.4,-8.8,5.4,-3.8,-8.2,-8,-0.8,3,-2.8,-4.4,-13.4,-6.8,-4.2,-6.8,-6.8,-8.6,-3.4,-1.6,11,TRUE
20100527,0.094,-6,-2.4,2.6,-4.8,-4.6,-6.4,0,-15,-11,-7,-2,-10.8,-13.6,-13.6,-26,-29,-37,-46.8,-46.4,-46.4,TRUE
20100527,0.111,-5,-5,7.6,10.2,19.2,17,15.6,13.6,9.2,19,21.2,29.8,26,27.4,25.2,31.4,30.8,28.2,32,46.2,TRUE
